Commodity,year,value
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",1997,44.640000000000015
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",1998,12.489999999999998
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",1999,31.61
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2000,61.15
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2001,85.48
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2002,82.37999999999998
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2003,81.11999999999999
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2004,49.74000000000002
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2005,63.06000000000001
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2006,77.53000000000002
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2007,693.2699999999999
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2008,1466.9799999999993
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2009,1030.27
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2010,1667.7700000000002
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2011,2275.190000000001
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2012,2210.19
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2013,4585.199999999999
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2014,6159.59
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2015,3959.3000000000006
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2016,3381.7999999999984
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2017,2264.7699999999995
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2018,1716.0400000000002
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2019,698.8999999999999
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,1997,12.599999999999996
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,1998,20.409999999999997
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,1999,31.75
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2000,52.960000000000015
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2001,52.470000000000006
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2002,61.91
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2003,70.43000000000002
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2004,107.78000000000002
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2005,138.66000000000003
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2006,131.14999999999998
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2007,239.12000000000003
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2008,209.12
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2009,196.31999999999994
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2010,240.78000000000006
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2011,205.24
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2012,303.0899999999999
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2013,332.8999999999999
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2014,312.99999999999994
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2015,249.57000000000002
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2016,251.32
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2017,236.54000000000002
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2018,251.70999999999995
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2019,109.96000000000002
ALUMINIUM AND ARTICLES THEREOF.,1997,259.58
ALUMINIUM AND ARTICLES THEREOF.,1998,142.48999999999998
ALUMINIUM AND ARTICLES THEREOF.,1999,247.14000000000007
ALUMINIUM AND ARTICLES THEREOF.,2000,337.11999999999995
ALUMINIUM AND ARTICLES THEREOF.,2001,340.09999999999997
ALUMINIUM AND ARTICLES THEREOF.,2002,375.3999999999999
ALUMINIUM AND ARTICLES THEREOF.,2003,404.77000000000004
ALUMINIUM AND ARTICLES THEREOF.,2004,541.1999999999997
ALUMINIUM AND ARTICLES THEREOF.,2005,606.0399999999997
ALUMINIUM AND ARTICLES THEREOF.,2006,824.6700000000001
ALUMINIUM AND ARTICLES THEREOF.,2007,1124.0399999999997
ALUMINIUM AND ARTICLES THEREOF.,2008,1165.5199999999993
