Commodity,year,value
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",1997,356.75
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",1998,188.39000000000001
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",1999,93.72
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2000,257.93
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2001,258.15999999999997
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2002,973.7499999999995
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2003,1168.9400000000003
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2004,1592.1699999999998
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2005,4979.420000000002
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2006,5265.0599999999995
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2007,13350.829999999998
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2008,5384.410000000003
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2009,4943.77
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2010,3442.4199999999996
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2011,4094.1399999999985
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2012,4717.190000000001
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2013,4305.5199999999995
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2014,4707.200000000002
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2015,4983.97
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2016,8372.970000000001
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2017,7677.560000000003
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2018,7615.410000000001
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2019,3802.3500000000017
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,1997,29.95000000000001
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,1998,28.71
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,1999,29.670000000000012
