country,HSCode,value,year,country,code
AFGHANISTAN TIS,15606,3227.1000000000013,692865,Afghanistan Tis,Unknown code
ALBANIA,5960,541.8499999999999,229429,Albania,ALB
ALGERIA,13555,15192.980000000005,540568,Algeria,DZA
AMERI SAMOA,4892,91.85000000000008,150723,Ameri Samoa,Unknown code
ANDORRA,1234,5.71,40172,Andorra,AND
ANGOLA,10554,52261.88,344241,Angola,AGO
ANGUILLA,661,0.6000000000000001,16118,Anguilla,AIA
ANTARTICA,1670,7.63,52334,Antartica,Unknown code
ANTIGUA,2996,18.580000000000013,96428,Antigua,Unknown code
ARGENTINA,47020,23761.280000000035,2056676,Argentina,ARG
ARMENIA,8844,125.71000000000006,271330,Armenia,ARM
ARUBA,1650,8.129999999999999,48327,Aruba,ABW
AUSTRALIA,98696,169831.68000000002,3855437,Australia,AUS
AUSTRIA,87474,12090.950000000033,3062973,Austria,AUT
AZERBAIJAN,6674,4985.730000000004,259311,Azerbaijan,AZE
BAHAMAS,6754,1132.7399999999998,219293,Bahamas,BHS
BAHARAIN IS,46630,9866.590000000046,1627238,Baharain Is,Unknown code
BANGLADESH PR,63695,8196.370000000014,2588349,Bangladesh Pr,Unknown code
BARBADOS,5197,5.1099999999999985,158909,Barbados,BRB
BELARUS,24411,2826.869999999999,828296,Belarus,BLR
BELGIUM,97653,138635.53,3807884,Belgium,BEL
BELIZE,6504,27.03000000000003,211287,Belize,BLZ
BENIN,12365,3202.800000000001,494625,Benin,BEN
BERMUDA,1555,74.63000000000001,52204,Bermuda,BMU
BHUTAN,16969,3306.450000000001,801494,Bhutan,BTN
BOLIVIA,8562,2290.6000000000004,325672,Bolivia,Unknown code
BOSNIA-HRZGOVIN,10951,103.38000000000007,361984,Bosnia-Hrzgovin,Unknown code
BOTSWANA,5089,6353.26,144839,Botswana,BWA
BR VIRGN IS,7393,54.46000000000002,249611,Br Virgn Is,Unknown code
BRAZIL,79891,51389.90000000002,3107228,Brazil,BRA
BRUNEI,9275,7068.040000000007,311499,Brunei,Unknown code
BULGARIA,48779,1505.7799999999943,1794955,Bulgaria,BGR
BURKINA FASO,3665,2645.74,188886,Burkina Faso,BFA
BURUNDI,2679,31.0,98528,Burundi,BDI
C AFRI REP,4548,30.819999999999997,150707,C Afri Rep,Unknown code
CAMBODIA,18163,292.23,663877,Cambodia,KHM
CAMEROON,13780,4142.840000000002,534624,Cameroon,CMR
CANADA,96293,46800.69999999987,3657154,Canada,CAN
CANARY IS,72,0.01,2001,Canary Is,Unknown code
CAPE VERDE IS,3779,27.360000000000003,102689,Cape Verde Is,Unknown code
